course_number,name,times,term,replacements,prerequisites,instructor,room,credits,credits
CS1,Computer Science Elective,Transfer,N/A,N/A,N/A,N/A,N/A,3,3
CS2,Computer Science Elective,Transfer,N/A,N/A,N/A,N/A,N/A,3,3
CS141,Introduction to Computer Science I,LEC TR 11:00-12:15 ,Every,N/A,N/A,Chuck Thorpe,360 Science Center,3,3
CS141,Introduction to Computer Science I,LAB F 10:00-10:50,Every,N/A,N/A,Chuck Thorpe,334 Science Center,3,3
CS142,Introduction to Computer Science II,LEC TR 13:30-14:45,Every,EE262,CS 141,Alexis Maciel,160 Sceince Center,3,3
CS241,Computer Organization,LEC TR 09:30-10:45,Spring,N/A,"CS 142, EE 262, or EE 361",Chuck Thorpe,B10L Snell Hall,3,3
CS242,Advanced Programming Concepts in Java,LEC TR 08:00-09:15,Fall,N/A,"CS 142, EE 262, or EE 361",Natasha Banerjee,214 Snell Hall,3,3
CS341,Programming Languages,LEC TR 15:00-16:15,Fall,N/A,"CS142, EE262, or EE361",Chris Lynch ,214 Snell Hall,3,3
CS344,Algorithms & Data Structures,LEC TR 15:00-16:15,Spring,N/A,"CS142, EE262, or EE361 and MA 132",Chuck Thorpe,176 CAMP,3,3
CS345,Automata Theory and and Formal Languages,LEC MWF 9:00-9:50,Fall,N/A,"CS142, EE262, or EE361 and MA211",Alexis Maciel,162 Science Center,3,3
CS350,Software Design and Development,LEC TR 13:30-14:45,Spring,N/A,CS242,Sean Banerjee,B10L Snell Hall,3,3
CS407,Directed Study in Computer Science,N/A,N/A,N/A,N/A,N/A,N/A,3,3
CS408,Directed Study in Computer Science,N/A,N/A,N/A,N/A,N/A,N/A,3,3
CS411,Directed Study in Applied Computer Science,N/A,N/A,N/A,N/A,N/A,N/A,3,3
CS412,Directed Study in Applied Computer Science,N/A,N/A,N/A,N/A,N/A,N/A,3,3
CS442,Computer Complexity,LEC MWF 10:00-10:50,Given When Needed,N/A,CS345,Alexis Maciel,342 Science Center,3,3
CS444,Operating Systems,LEC MWF 14:00-14:50,Spring,N/A,"CS344; CS241, EE360, EE364",Jeanna Matthews,194 CAMP,3,3
CS444,Operating Systems,LAB W 13:00-13:50,Spring,N/A,"CS344; CS241, EE360, EE365",Jeanna Matthews,334 Science Center,3,3
CS445,Compiler Construction,LEC TR 08:00-09:15,Given When Needed,N/A,"CS344; CS345, CS241, CS341",Christino Tamon,Online,3,3
CS449,Computational Learning,LEC TR 11:00-12:15,Fall,N/A,CS344; CS345,Christino Tamon,194 CAMP,3,3
CS451,Artificial Intelligence,LEC TR 09:35-10:50,Spring,N/A,"CS344 R:CS250,  CS341",Shafique Ahmad Chaudhry,200 Quad Center,3,3
CS452,Computer Graphics,LEC TR 13:30-14:45,Given When Needed,N/A,"CS142, EE361; MA232, MA239 C: MA339",Natasha Banerjee,194 CAMP,3,3
CS455,Computer Networks,LEC MWF 14:00-14:50,Fall,EE407,"EE264, CS241, IT502; EE261, CS141, IT501",Yu Liu,244 Rowley Lab,3,3
CS456,Cryptography,LEC TR 08:00-09:15,Given When Needed,MA 456,"CS142, EE262, EE361; MA211 R: CS334",Christino Tamon,178 CAMP,3,3
CS457,Computer and Network Sercuity,LEC MWF 15:00-15:50,Given When Needed,N/A,CS455; CS142,Jeanna Matthews,334 Science Center,3,3
CS458,Formal Methods for Program Verification,LEC TR 11:00-12:15,Spring,N/A,"MA211, MA346; CS344",Chris Lynch ,184 CAMP,3,3
CS459,Human-Computer Interaction,LEC TR 16:30-17:45,Given When Needed,N/A,"CS242, EE408",Sean Banerjee,382 Science Center,3,3
CS460,Database Systems,LEC MWF 08:00-08:50,Spring,EE468,"??? ""Programming experience in a high-level langauge""",Daqing Hou,194 CAMP,3,3
CS461,Mixed Reality ,LEC TR 09:30-10:45,Given When Needed,N/A,"CS142, EE361; MA232, MA239 C: MA339",Natasha Banerjee,178 CAMP,3,3
CS466,Blockchain Technologies ,LEC TR 11:00-12:15,Given When Needed,N/A,CS344,Yaoqing Liu,334 Science Center,3,3
CS469,Quantum Information & Computation,LEC TR 8:00-9:15,Given When Needed,N/A,"CS344; MA232, MA339",Christino Tamon,356 Science Center,3,3
CS470,Deep Learning,LEC MWF 13:00-13:50,Given When Needed,N/A,"CS142, EE262, EE361; MA339",Sounyabrata Dey,178 CAMP,3,3
CS471,System Administration & Network Operations,LEC MWF 10:00-10:50,Given When Needed,N/A,"CS241, EE260, EE264",Yaoqing Liu,334 Science Center,3,3
CS472,Image Understanding,LEC MWF 13:00-13:50,Given When Needed,N/A,"CS142, EE262, EE361; MA232, MA239 C: MA339",Sounyabrata Dey,344 Science Center,3,3
CS473,Computer Vision,LEC TR 14:30-15:45,Given When Needed,N/A,"CS142, EE262; MA339",Natasha Banerjee,Online,3,3
CS475,"Computing, Ethics and Society",LEC MWF 14:10-15:00,Given When Needed,N/A,CS141,Jeanna Matthews,162 Science Center,3,3
CS497,Undergraduate Research I,N/A,N/A,N/A,N/A,N/A,N/A,3,3
CS498,Undergraduate Research II,N/A,N/A,N/A,N/A,N/A,N/A,3,3
CS499,Professional Experience,N/A,N/A,N/A,N/A,N/A,N/A,3,3